#Hunting for outflows in the 12CO CARMA Orion Data. 
#In the following table, I will go through all HOPS protostars covered by the 
#CARMA-NRO Orion footprint.
#If there are signs of an outflow IN 12CO, I will find the optimal blue and red velocity
#ranges to display it, these are written in blue_vel and red_vel (in km/s). If
#these values have '0' or '-' that means that the automatic fit value is fine. 
#If the outflow is seen in Tanabe's NRO-only study, tanabe = the outflow number #corresponding to tanabe's study. ? means unclear
hops, outflow, blue_vel, red_vel, tanabe, notes
# Tanabe outflow 9 (not listed above) is driven not by a HOPS source, but a Spitzer Orion disk source with H2 jet from Davis.
# Tanabe outflow 2 (not listed above) is driven not by a HOPS source, but a Spitzer Orion disk source with H2 jet from Davis.

# Spitzer Orion 2368 - possible source of red lobe of Tanabe Outflow 7.
# Spitzer Orion 2293 - possible source of a small red/blue outflow separate from the nearby Outflow 13 of tanabe, this could also be related to HOPS108. NEW CO outflow here!

# V380 Ori (Spitzer Orion 796) may be source of red "cauliflower" emission attributed by Tanabe to Outflow 40/SMZ 63 - from HOPS 166 to the South.

# V563 Ori seems to be the driving source of the CO 'fan' sticking out the north side of the very northern edge of the cloud into NGC1977. You can see a U-shaped dark feature in the VISTA NIR image.


# hops93 and 94 seem to have small outflows (based on IR nebulosity) look for corresponding CO. 
# hop91 might have outflow extending SErede) to NW (blue)


# look at hops158
